solver,acc_mean_m,acc_std_m,acc_min_m,acc_max_m,pairs_mean,pairs_std,AP_mean,MP_mean,tts_mean_ms,tts_std_ms,time_mean_s
Greedy,2.8967837998427814,1.3389793477436902e-15,2.89678379984278,2.89678379984278,21.0,0.0,5.0,5.0,,,0.0
SA,2.6857391873176453,0.08392813592042822,2.5053311732277246,2.7807293915144227,5.76,1.32664991614216,3.59,4.68,2.578505825996399,1.4187077058728867,1.9191245532035828
QA,2.6569142236033043,0.09121630039818417,2.4030033814677427,2.7971921759487945,5.82,1.3661122304783841,3.69,4.63,0.019999999999999997,3.486925384749193e-18,3.8391084122657775
