var_index,ap,mp,importance
0,0,1,6.935430171120014
1,0,2,4.044727153116501
2,0,3,8.848609933568822
3,0,4,8.353595387035991
4,0,5,2.127035326391842
5,0,6,11.780277335644097
6,0,7,5.346753174641448
7,0,8,12.837136770132918
8,0,9,12.140891450673873
9,1,0,7.27086663220498
10,1,2,6.26257884021222
11,1,3,7.336690832152856
12,1,4,18.61683632153913
13,1,5,4.653753215977426
14,1,6,20.991939499539125
15,1,7,5.082373613433525
16,1,8,17.701224903565784
17,1,9,10.779364455429649
18,2,0,6.042971762270603
19,2,1,6.123317541390114
20,2,3,6.406566528754312
21,2,4,10.008075535773882
22,2,5,2.282695407467498
23,2,6,11.517111197733502
24,2,7,18.084166766145035
25,2,8,19.97084900505502
26,2,9,13.004727954001092
27,3,0,6.325013687041088
28,3,1,7.109457415282296
29,3,2,5.296072915245061
30,3,4,8.062968117384557
31,3,5,0.9323972740439255
32,3,6,11.961438667884918
33,3,7,6.763307613100376
34,3,8,11.403939270325385
35,3,9,8.577300841162572
36,4,0,4.077674805193265
37,4,1,9.477358888926343
38,4,2,5.721868748890055
39,4,3,8.394291287090569
40,4,5,3.255836307876657
41,4,6,9.876359370605314
42,4,7,5.2535561009745
43,4,8,15.401024063711377
44,4,9,8.085739431870595
45,5,0,5.115709373205222
46,5,1,10.729538121012933
47,5,2,5.8808508585102865
48,5,3,4.228834926982943
49,5,4,8.34746485795924
50,5,6,12.145930782117457
51,5,7,8.266801581205076
52,5,8,13.565038262982345
53,5,9,10.530075018445357
54,6,0,4.537719748023311
55,6,1,13.514895842901856
56,6,2,2.818761792236186
57,6,3,5.897789550979455
58,6,4,9.384475312435205
59,6,5,2.993856184153589
60,6,7,4.610761107424502
61,6,8,13.770261860965453
62,6,9,8.759624582204525
63,7,0,5.432396692073259
64,7,1,5.9929082032822025
65,7,2,13.934816670354646
66,7,3,5.700389642997116
67,7,4,13.536906239146571
68,7,5,3.248024100365616
69,7,6,8.57597628733689
70,7,8,10.89376647954345
71,7,9,11.111015280943592
72,8,0,6.515532905380193
73,8,1,9.09209829578895
74,8,2,8.153928273847802
75,8,3,7.158067109262364
76,8,4,9.148383523467903
77,8,5,2.993833316807146
78,8,6,8.843539603387574
79,8,7,4.299181926053762
80,8,9,4.7863685733625045
81,9,0,9.292986984101283
82,9,1,7.170844841111279
83,9,2,9.85062491029518
84,9,3,8.702714435037771
85,9,4,13.247160879438255
86,9,5,3.9485298467843117
87,9,6,8.798662561418917
88,9,7,6.318249865036116
89,9,8,8.375658770838582
