0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
-54.0390625,-54.46875,-50.23828125,-57.10546875,-48.2890625,-56.33984375,-58.35546875,-56.08203125,-57.703125,-54.94921875,-60.84765625,-62.453125,-64.125,-70.49609375,-67.5703125,-65.28125,-60.296875,-56.7890625,-53.5234375,-60.125,-45.09375,-55.1484375,-59.39453125,-66.75,-61.6796875,-59.02734375,-61.1015625,-52.02734375,-64.125,-49.18359375,-45.73828125,-42.1171875,-61.84765625,-58.78515625,-55.44921875,-52.87109375,-61.07421875,-72.8828125,-63.01171875,-46.34375,-54.16015625,-63.6953125,-62.66796875,-60.0625,-59.2265625,-46.1015625,-69.15625,-59.50390625,-37.87109375,-48.65234375,-66.640625,-56.8046875,-49.9609375,-52.4375,-62.10546875,-70.71875,-71.74609375,-62.0625,-58.32421875,-70.1640625,-56.71484375,-57.95703125,-56.7265625,-59.13671875,-65.50390625,-63.33203125,-55.43359375,-55.78515625,-56.8671875,-51.12109375,-43.02734375,-49.93359375,-63.54296875,-69.16796875,-68.5078125,-60.484375,-60.84765625,-57.86328125,-63.046875,-46.82421875,-33.05859375,-64.54296875,-65.765625,-74.5234375,-58.5859375,-60.3125,-62.984375,-62.26953125,-58.6640625,-35.70703125
-57.85173611111111,-51.115625,-54.11267361111111,-52.18732638888889,-48.5375,-60.617708333333326,-57.22725694444444,-54.589756944444446,-60.753993055555554,-55.91319444444445,-55.574305555555554,-61.86024305555555,-59.081076388888896,-69.04913194444445,-67.13576388888889,-59.9921875,-57.040625,-57.70954861111111,-54.02413194444444,-57.47239583333334,-44.9765625,-48.10069444444445,-56.527256944444446,-64.37309027777778,-52.796527777777776,-53.084201388888886,-57.89635416666666,-58.101041666666674,-66.11996527777778,-45.805034722222224,-41.11059027777778,-41.93680555555556,-64.20815972222222,-58.18177083333333,-54.73732638888888,-56.51111111111111,-63.26892361111111,-69.75763888888889,-55.5796875,-47.48246527777778,-52.89045138888889,-61.588368055555556,-59.525347222222216,-58.183680555555554,-60.239062499999996,-48.96770833333334,-65.95746527777777,-53.56597222222222,-39.33385416666667,-43.91041666666666,-64.99652777777777,-52.65711805555555,-46.842881944444436,-54.38489583333333,-65.1921875,-72.33940972222223,-67.90868055555556,-65.9828125,-56.37083333333334,-70.99253472222222,-54.95399305555555,-55.13732638888889,-58.58107638888888,-60.27899305555556,-65.05312500000001,-54.49635416666666,-56.996180555555554,-50.496180555555554,-55.689930555555556,-51.761631944444446,-39.91857638888889,-49.71302083333333,-63.489583333333336,-65.52586805555556,-61.81059027777778,-59.40503472222222,-54.094618055555564,-54.823263888888896,-60.66979166666667,-44.535937499999996,-33.9125,-65.94965277777777,-68.01510416666666,-68.2482638888889,-60.36267361111111,-56.712673611111114,-64.11805555555556,-64.61354166666666,-55.39618055555555,-34.351215277777776
-53.63333333333333,-52.001041666666666,-52.06276041666666,-57.21901041666666,-47.37630208333333,-59.977604166666666,-55.51354166666667,-55.583072916666666,-62.79348958333333,-52.270572916666666,-56.705989583333334,-61.98489583333333,-64.22942708333333,-70.23932291666667,-70.51328125,-63.68723958333334,-62.44505208333334,-61.87682291666667,-52.65286458333333,-57.49244791666666,-45.51536458333334,-56.200260416666666,-57.67161458333334,-68.90234375,-63.3015625,-61.17942708333334,-64.07890625,-53.93671875,-64.38723958333333,-47.53723958333333,-47.53828125,-42.65078125,-65.109375,-59.49921875,-57.1828125,-59.77369791666666,-60.68776041666666,-70.84713541666667,-59.01901041666667,-48.09895833333333,-54.6859375,-67.53177083333333,-64.6140625,-60.83828125,-64.175,-45.05598958333333,-67.33828125,-56.09114583333333,-38.90703125,-48.07291666666667,-68.9578125,-56.24036458333333,-50.44114583333334,-56.5953125,-62.52682291666667,-71.02005208333333,-69.86484375,-66.17473958333333,-63.27786458333333,-70.8515625,-56.813541666666666,-58.17265625,-62.030208333333334,-59.420833333333334,-65.42265625,-62.489322916666666,-57.55651041666667,-59.5703125,-57.830989583333334,-54.85234375,-41.170833333333334,-52.844791666666666,-61.600520833333334,-65.9734375,-63.34244791666667,-61.53515625,-59.896875,-56.23515625,-64.3921875,-44.700260416666666,-38.75729166666667,-62.78359375,-66.96119791666666,-66.23385416666667,-61.35677083333333,-64.27864583333333,-64.04427083333333,-65.4625,-55.60208333333333,-37.97473958333333
-56.984375,-53.0703125,-55.53125,-53.9375,-49.71875,-64.1484375,-59.9765625,-60.4140625,-61.59375,-55.6328125,-56.9296875,-63.8671875,-64.8515625,-70.59375,-75.0546875,-66.4609375,-64.3984375,-62.9140625,-54.390625,-60.8203125,-46.6171875,-52.015625,-57.78125,-70.7109375,-65.6640625,-63.7578125,-64.09375,-55.7421875,-66.34375,-47.203125,-44.3125,-40.6875,-65.7890625,-56.59375,-58.359375,-57.9921875,-63.3984375,-74.5234375,-58.515625,-49.875,-52.640625,-66.765625,-63.921875,-60.53125,-59.9921875,-48.2109375,-71.0703125,-54.953125,-39.125,-47.1875,-67.578125,-53.3125,-50.828125,-55.453125,-66.0390625,-73.9609375,-69.171875,-67.4296875,-59.84375,-69.5234375,-56.1875,-60.75,-61.3203125,-61.96875,-68.0390625,-61.8671875,-57.0234375,-54.5234375,-55.6328125,-56.4140625,-45.3515625,-49.328125,-64.9765625,-69.1328125,-63.4375,-61.8671875,-59.2734375,-56.453125,-61.7578125,-48.5703125,-37.3359375,-71.1171875,-69.65625,-70.015625,-61.703125,-60.453125,-64.375,-68.375,-55.53125,-37.2578125
-55.83576388888889,-54.159375000000004,-54.41059027777778,-57.72239583333334,-49.11857638888889,-61.824999999999996,-59.13298611111111,-54.924305555555556,-60.284375000000004,-55.49809027777778,-58.77152777777778,-63.71059027777778,-65.13715277777779,-69.77152777777778,-69.2126736111111,-63.240625,-59.60364583333333,-58.97152777777777,-53.01840277777777,-57.574131944444446,-44.73107638888889,-53.834375,-57.68611111111111,-67.26805555555556,-58.81145833333333,-56.794270833333336,-63.33576388888889,-58.16684027777777,-67.23020833333334,-50.77309027777778,-46.541666666666664,-42.486979166666664,-67.40138888888889,-61.82152777777778,-57.48802083333334,-59.118923611111114,-62.79791666666667,-72.14097222222222,-60.30381944444445,-48.178125,-53.09479166666667,-64.56545138888889,-64.81736111111111,-57.64722222222222,-62.32239583333333,-48.53888888888889,-67.33020833333333,-58.74322916666667,-39.92760416666667,-49.36388888888889,-66.31684027777779,-56.222569444444446,-48.0640625,-54.35729166666667,-65.29965277777778,-73.20173611111112,-70.67777777777778,-66.015625,-60.630381944444444,-71.53975694444445,-56.72065972222222,-56.75364583333334,-61.34722222222222,-61.69392361111111,-65.44826388888889,-61.12986111111112,-57.55034722222222,-55.96128472222222,-56.98159722222223,-52.433506944444446,-40.79236111111111,-51.06822916666667,-63.13958333333333,-66.08524305555555,-62.60052083333333,-59.38472222222222,-57.54652777777778,-55.91631944444445,-62.17534722222222,-47.12916666666666,-35.97013888888889,-64.9185763888889,-67.92413194444445,-68.95277777777778,-61.16701388888888,-61.61006944444444,-64.54461805555555,-64.42378472222222,-56.574305555555554,-35.61284722222222
-58.4609375,-55.8828125,-52.6015625,-57.21875,-51.1015625,-56.296875,-55.234375,-61.5234375,-62.796875,-55.7265625,-60.0546875,-62.421875,-66.6328125,-70.4765625,-66.859375,-60.7265625,-64.28125,-60.78125,-54.1328125,-60.84375,-46.421875,-56.6875,-59.3984375,-65.9765625,-57.8203125,-62.1484375,-63.65625,-55.8515625,-66.484375,-48.53125,-47.1796875,-43.5,-62.5703125,-57.3203125,-60.0078125,-56.375,-63.4453125,-72.96875,-60.0390625,-45.578125,-54.2421875,-62.15625,-60.84375,-64.8671875,-60.578125,-49.640625,-70.8125,-59.5,-39.25,-50.078125,-63.40625,-53.0546875,-56.75,-55.03125,-66.109375,-75.625,-72.546875,-65.9453125,-63.09375,-73.328125,-53.7265625,-63.390625,-63.6484375,-60.78125,-67.2109375,-58.3203125,-56.2734375,-56.53125,-56.7578125,-51.0859375,-47.2890625,-55.1953125,-65.8359375,-70.8046875,-68.53125,-62.8828125,-62.5,-59.3515625,-63.03125,-44.6484375,-35.71875,-68.6796875,-72.125,-74.5078125,-62.3203125,-65.84375,-66.9765625,-64.6875,-58.5546875,-39.7109375
-53.20451388888889,-52.29236111111111,-51.83472222222222,-56.18663194444445,-48.21510416666666,-56.36753472222222,-56.37534722222222,-56.79184027777777,-57.79114583333333,-52.30954861111112,-56.323437500000004,-59.48767361111111,-62.49895833333333,-67.68697916666666,-65.47256944444445,-61.137499999999996,-60.93402777777778,-55.96892361111111,-52.55538194444444,-56.611979166666664,-44.22222222222222,-53.75034722222222,-57.72586805555556,-63.97361111111112,-56.99375,-57.38402777777778,-59.34479166666667,-54.12222222222223,-62.03836805555556,-46.47743055555555,-45.330555555555556,-41.991840277777776,-60.72673611111111,-54.33246527777778,-56.348437499999996,-52.4703125,-61.058506944444446,-66.86006944444445,-57.8453125,-45.097743055555554,-53.04583333333333,-61.25694444444445,-61.06371527777778,-59.493923611111114,-57.470486111111114,-46.582118055555554,-66.53732638888889,-55.70381944444444,-37.86944444444445,-48.30451388888889,-64.03559027777779,-52.12083333333334,-50.48350694444445,-52.97534722222222,-63.05572916666667,-70.65381944444444,-70.21354166666667,-64.58819444444445,-60.02552083333333,-70.9265625,-52.93732638888889,-57.986805555555556,-56.35954861111111,-59.18003472222222,-64.94965277777777,-60.03628472222223,-54.416493055555556,-58.021875,-55.97708333333333,-49.24305555555555,-43.0609375,-48.06232638888889,-63.34027777777778,-65.58125,-63.777430555555554,-59.567881944444444,-58.010937500000004,-56.333333333333336,-58.71736111111111,-43.361805555555556,-32.683680555555554,-66.87986111111111,-66.22100694444445,-68.01128472222223,-59.21527777777778,-60.51788194444445,-62.721354166666664,-62.24496527777777,-51.9375,-35.959201388888886
-49.83020833333333,-52.75989583333333,-54.17135416666667,-54.13515625,-48.20052083333333,-51.666927083333334,-54.02942708333333,-53.9796875,-51.86692708333334,-50.838802083333334,-58.03645833333333,-64.47447916666667,-60.31640625,-70.86302083333334,-55.897395833333334,-61.70729166666666,-55.45390625,-54.50390625,-50.9578125,-55.24192708333334,-48.540625,-51.801822916666666,-58.25078125,-58.01979166666666,-60.13723958333333,-53.49661458333333,-52.41458333333333,-55.11875,-63.65677083333333,-50.461979166666666,-43.16197916666667,-42.68125,-61.87083333333334,-56.06692708333333,-56.97526041666667,-52.594791666666666,-60.14088541666666,-65.40625,-60.70182291666667,-50.42838541666667,-53.22317708333333,-58.28958333333333,-61.62526041666666,-57.94765625,-54.04375,-45.15677083333333,-60.116145833333334,-58.327083333333334,-41.094791666666666,-46.68333333333334,-60.95260416666667,-53.04427083333333,-50.31822916666667,-50.524479166666666,-58.41458333333333,-61.69947916666666,-70.859375,-68.1203125,-58.36119791666667,-72.1453125,-56.63619791666667,-54.75364583333334,-55.13515625,-56.307552083333334,-59.28072916666667,-64.22057291666667,-56.56302083333333,-55.24166666666667,-56.334895833333334,-46.14869791666666,-42.89609375,-47.62630208333333,-60.09166666666667,-59.946875,-63.934375,-63.33020833333333,-57.16041666666666,-57.670833333333334,-56.10859375,-46.20130208333333,-32.05416666666667,-59.80729166666667,-63.202083333333334,-70.77291666666667,-63.38046875,-57.79036458333333,-62.90052083333333,-60.471614583333334,-55.91927083333333,-35.48307291666667
-50.65173611111111,-48.669270833333336,-47.889756944444436,-49.08628472222222,-45.049305555555556,-50.13229166666667,-52.58802083333333,-49.3125,-54.84305555555556,-48.75086805555555,-54.544444444444444,-57.59375,-54.057118055555556,-63.942881944444444,-58.89496527777777,-58.86701388888889,-54.24166666666667,-54.07118055555555,-47.417881944444446,-53.178819444444436,-42.09322916666667,-46.517361111111114,-53.8453125,-56.89114583333333,-56.28246527777778,-48.50920138888889,-54.00833333333333,-48.16909722222223,-57.40694444444444,-41.668055555555554,-39.02552083333333,-39.63072916666667,-53.04010416666667,-50.692708333333336,-47.01736111111111,-49.69809027777777,-58.16597222222222,-65.13229166666666,-54.86875,-42.58680555555556,-49.30399305555556,-54.8359375,-58.58923611111111,-52.03350694444445,-55.44045138888888,-41.91996527777778,-61.542881944444446,-52.33871527777777,-36.06163194444445,-41.848958333333336,-55.68125,-48.42621527777778,-40.36128472222222,-46.259548611111114,-58.6234375,-65.11631944444444,-66.4796875,-60.94392361111111,-52.2421875,-67.50017361111111,-52.50069444444444,-49.94826388888888,-53.94305555555555,-57.232638888888886,-61.40711805555555,-59.37361111111111,-52.47326388888889,-49.89253472222222,-52.98229166666667,-46.81475694444445,-37.19097222222222,-46.83802083333333,-57.51666666666667,-62.403124999999996,-61.2953125,-56.300694444444446,-51.50989583333333,-52.56336805555555,-53.299305555555556,-43.010243055555556,-31.1171875,-59.42847222222222,-62.58819444444445,-64.93107638888888,-55.8109375,-53.54809027777778,-59.848437499999996,-56.661458333333336,-53.14791666666667,-30.123611111111114
-50.5078125,-50.5625,-47.5546875,-51.4296875,-47.09375,-56.5546875,-60.1328125,-58.28125,-53.875,-47.7109375,-52.9765625,-56.3671875,-50.1875,-66.53125,-59.375,-64.3359375,-61.234375,-53.453125,-47.2890625,-53.6796875,-39.2578125,-49.0703125,-57.8515625,-65.8828125,-63.6953125,-59.4765625,-58.8984375,-52.3671875,-58.8515625,-49.8359375,-40.0234375,-43.546875,-62.515625,-60.34375,-56.859375,-52.1484375,-59.3515625,-65.0234375,-58.4609375,-41.25,-54.2421875,-60.65625,-65.8984375,-60.140625,-55.9921875,-46.828125,-62.28125,-56.5,-35.1171875,-42.7421875,-68.0703125,-59.4609375,-52.1875,-54.8359375,-63.03125,-63.5546875,-69.34375,-61.15625,-55.09375,-73.2109375,-59.5546875,-61.9609375,-59.859375,-57.4609375,-62.6171875,-63.0546875,-54.78125,-49.859375,-60.046875,-54.015625,-44.4375,-53.75,-61.140625,-62.75,-62.6953125,-55.0234375,-55.8671875,-56.28125,-58.4375,-49.0703125,-33.046875,-61.5546875,-61.7890625,-65.015625,-54.8125,-54.4921875,-62.359375,-62.21875,-58.5625,-36.9765625
