var_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,1.0,0.6499001032176773,0.3684351508743296,0.3436879224934462,0.5013530685573111,0.4325042729325273,0.38222689373905444,0.3634668509208499,0.6658267430784165,0.8315469377849904,0.5700542165857161,0.3966434693434853,0.5593303537479288,0.6096707323363867,0.4852970513731153,0.13060772540358978,0.24816830341933505,0.5971853083929284,0.7546334396140195,0.8512804643071004,0.22164131915729676,0.2923301009836401,0.4134838708786968,0.40528590883307153,0.23328011545444455,0.2721535852945974,0.5717715597605679,0.6086043311000536,0.8036349941322618,0.2367068475554902,0.3388350320804342,0.017762593673910376,0.23488041133284546,0.25747373843521165,0.28555351931667966,0.5275691886897291,0.6822889449095233,0.6698945820130389,0.19145767391490742,0.1612467897515532,0.11164830185052171,0.22099447001867736,0.07669360031240631,0.22781913138537402,0.4168671659870153,0.5689043871122799,0.8491604224827038,0.3354425217667903,0.08683641771359092,0.26488854193471145,0.18406963358522305,0.11639045674709829,0.23179332693620114,0.4306632195711982,0.8106980501688136,0.7238963957726182,0.3804090808863209,0.17821634088348562,0.3641060574999237,0.27254522005874765,0.07355040563051496,0.2018065285590308,0.41354638221414075,0.5881911143844692,0.7169515411160444,0.14299347223829117,0.1277191809576356,0.2501214700480344,0.11895468202555777,0.1833924209273663,0.09844864801476928,0.24311891032103433,0.5112753887045869,0.6722724715618692,0.320016432194443,0.19538942675477378,0.2529459290403689,0.1758203927480307,0.2623664212333222,0.12471433608453762,0.4237920726090131,0.6783522863122559,0.8539289066201057,0.42608938260984114,0.20516312498959594,0.29923730431029844,0.5225953338903494,0.31805531870363973,0.06187037550407324,0.17003626198721336
1,0.6499001032176773,1.0,0.481062448405344,0.6076058679297506,0.5255237955790529,0.32286470218455143,0.4399492013339783,0.6354767856402488,0.5571036140451867,0.7394711310573768,0.8351614185178716,0.5548572472059009,0.6241581008380811,0.7347601140400891,0.4090762233624049,0.33442693553298425,0.5153947834878233,0.47207434386127833,0.8144327323900602,0.780945320137603,0.47457346993677546,0.5529575441986536,0.7671818995287758,0.44972625679224826,0.3499290607473685,0.5631876398983453,0.5321930187153014,0.5656785147007569,0.7058369441279672,0.7341643214939266,0.5788749407387422,0.24398278513259886,0.39304446412809435,0.31102123061952636,0.6076658608853366,0.42645410273327067,0.6697434564244786,0.5005970342126935,0.7073732492804995,0.4046324910616092,0.4879765844169136,0.3356904375941441,0.32698003387245433,0.5760182564862296,0.41032379326273377,0.5528243703880769,0.7235111302161266,0.7961779159271061,0.315956970314717,0.5391811969550526,0.3370231453358959,0.2680248410376576,0.6286941379623835,0.4523069143048217,0.4976364599640116,0.46590647405960456,0.8288367844432108,0.37880206669910926,0.5060968997948161,0.265375221101205,0.0791590824736359,0.5482692529663569,0.3561071163188188,0.4871698166610386,0.5757726971185062,0.3877817628952993,0.22611881176447676,0.49369142302991453,0.31426619718648124,0.09917634662098591,0.501302557352901,0.39431628378136274,0.6687768886912958,0.6738646947622696,0.72717260589723,0.49092316826365845,0.4935129160634592,0.6031282330244726,0.3741224465469126,0.08735376231214935,0.3657303481243852,0.4709765456859603,0.55095117293927,0.765357101558876,0.3766449863812631,0.40017732521083993,0.5576882144017585,0.3373203274182357,0.330125317887665,0.5208051505969974
2,0.3684351508743296,0.481062448405344,1.0,0.42129424361577433,0.40976527190661777,0.6740809097450223,0.4185868215422356,0.4823331621250461,0.5358856868215756,0.674369416601532,0.3730357206148134,0.833783481327097,0.47263848103771294,0.5443369482247622,0.4443009903873444,0.3334235467825132,0.3916515878083359,0.5058452359665455,0.6795823618515292,0.22361899540877953,0.8730185364566387,0.30053631535956127,0.4756425409180898,0.4803966373049325,0.2989244984260765,0.42698100614219875,0.37939817659861463,0.83411702823732,0.5381355711169585,0.47915637917980974,0.42357816580836505,0.22932569063413552,0.7327228809729077,0.39005551293152585,0.6694905838902406,0.7206876278329714,0.6640476716658608,0.0970881351295129,0.28875951033521197,0.889345539440145,0.46687120571589713,0.5244538101213141,0.18859797028937514,0.42861736543355655,0.4661514403688533,0.49407640774447387,0.3704031857202006,0.41792904711422457,0.8671657350304237,0.4053544735645522,0.5866518766144606,0.31071396304827714,0.506234558595809,0.6095672570076773,0.34661826661345535,0.11019309034027795,0.25905409115639677,0.9009779592898397,0.42365326737809433,0.13573480948529992,0.18845157882927122,0.3366820071895079,0.3449866751485231,0.5937952017185849,0.3295318364117182,0.24619433980324135,0.763296545499191,0.48289678070309705,0.36689659663774016,0.44737391327118403,0.4302035052373006,0.3627268585391165,0.5651114788421864,0.2074256436379275,0.3259820100109739,0.7627443829928636,0.23957262099653337,0.38988422907288917,0.5351308819069802,0.3336386569269909,0.5125635274773366,0.5185705908514714,0.30485068927344616,0.4375848838201722,0.7665619973301947,0.37915347028972146,0.737148519293863,0.7006701466163154,0.25250958575767435,0.4395015655041783
3,0.3436879224934462,0.6076058679297506,0.42129424361577433,1.0,0.6006518611402385,0.3748001827076447,0.3999303156353022,0.25022007546884434,0.5818238162370062,0.5208919562591293,0.5345251212298906,0.315227942890345,0.8558810354324419,0.505826933988767,0.31099945800924006,0.385208663101795,0.1751681973885814,0.46043669418502703,0.5842078914141141,0.4029840257083511,0.4208456619344464,0.906333712993923,0.44963517830221367,0.4361772805355434,0.3134989822658709,0.2872900769509344,0.5853212372129448,0.49377248513749256,0.4049541254882547,0.4212642464068041,0.9555009963134425,0.3708001103850928,0.32394425999815696,0.5009149750028294,0.49388986142866,0.4539815408831978,0.6401867816446378,0.42970582364816634,0.632477557283571,0.3658713946866391,0.46509828770049,0.4534721847296163,0.40273334456421234,0.20974616883853822,0.5623381429523442,0.5909071578587972,0.3752329204203776,0.5952580344296267,0.30650329372236795,0.942461904850339,0.42025665965010506,0.5064163263408757,0.379525305992919,0.4758882284079987,0.2224223711568496,0.18512601414073052,0.5969365986167114,0.27045155859664793,0.8579932571690417,0.18615313482801948,0.2712656658228944,0.26048741004724413,0.24021852336371355,0.5867834566413059,0.5006616113396251,0.3533951148956888,0.540636772230636,0.885209860852002,0.48303023940865325,0.2546328457614368,0.1660441915576176,0.5003326172561717,0.4778949441935584,0.3307691426274373,0.35869298098979924,0.4214543803538972,0.807199452760456,0.46872833055716756,0.32847817937516244,0.18589837073502874,0.3992525687221863,0.29504225549238866,0.2791867922900906,0.5420129655864588,0.3035318167370019,0.7852300167580271,0.35249673876945326,0.2561826796237263,0.3846897441454161,0.2301689392517038
4,0.5013530685573111,0.5255237955790529,0.40976527190661777,0.6006518611402385,1.0,0.4030896022354878,0.25639708358364677,0.2736648176740101,0.3589601679002231,0.4758628692073228,0.35778956942768614,0.30942824158199933,0.6499386287513845,0.3770695017430582,0.2869973695464338,0.10545138916511651,0.078713044761531,0.24395849110607398,0.44004995859910256,0.44025724546412115,0.34000661442050056,0.5068161924771728,0.4169268107606415,0.3362721309810962,0.07666439821371619,0.20820036000796513,0.37245971058816674,0.6086968387951902,0.5737481096589888,0.32775836317128243,0.568818001644099,0.4825175949491902,0.42543248949388046,0.4556037549994573,0.5180435206128607,0.4414423645237398,0.5169089138533061,0.5112778315711116,0.24571799683563308,0.3064608480611852,0.2961289864663782,0.40054310894108736,0.3536732101209305,0.18500854154995264,0.25941647905563947,0.8002897581775579,0.43428929641574304,0.3607930471167945,0.360968821019138,0.6269834002078497,0.3033224882988114,0.2142386826139234,0.3988626100161425,0.2738451752738921,0.3722886140191403,0.3728377557419232,0.40877957005146515,0.36733305124896465,0.6683707632132866,0.19569358381950624,0.03692700256103142,0.27427811259228824,0.18890418130194445,0.26315028533639767,0.35928416036758676,0.04284529429175465,0.3547485045673175,0.4740124119715037,0.1625255922943193,0.14590653049857336,0.17600549985557865,0.18315231978088617,0.29230562221507134,0.21579588573201172,0.03739715602720406,0.22651636031495498,0.49245313594392753,0.17352475142979018,0.20433955928415035,0.05439560433115119,0.14962005565418446,0.56335561416842,0.35474865403110184,0.36233939233678897,0.2462641912980449,0.4771299035261151,0.27247266496422257,0.2641591733859598,0.1789454405348885,0.16189172075564565
5,0.4325042729325273,0.32286470218455143,0.6740809097450223,0.3748001827076447,0.4030896022354878,1.0,0.6982561542437409,0.4424049130445602,0.6530152313284538,0.5920006214330276,0.15642160839762825,0.4628178362618852,0.4314191212494004,0.34166551124816863,0.7879402778397196,0.5077592374257146,0.431393931805206,0.49488134537442924,0.5752383229298981,0.2784393289917872,0.40432994499755887,0.3322111613995907,0.4092442043851464,0.8742943825981675,0.30002011049973815,0.5126591207785013,0.6004621940192393,0.6818915429113949,0.4573412465944478,0.3599738947815556,0.42846085567553766,0.2690714948012355,0.846617934042903,0.5817101329399603,0.5240771187342164,0.72900238084166,0.6257894325769752,0.3525252885723044,0.20204939414180229,0.5585931910219195,0.5076005193397384,0.8441670673593644,0.414258182189049,0.3578664720069196,0.643957842894584,0.5807254437942931,0.5027284559144353,0.24887146242402314,0.44300879374886637,0.37740711924748943,0.8417489340017622,0.4745914145177935,0.3778373272804649,0.6487540350904892,0.6592331513853074,0.4397759200193891,0.191083920017436,0.579292442580648,0.48251186131547635,0.13592368483628134,0.36777600432049534,0.446678046459455,0.5203502835926231,0.6287099676661789,0.5985000832205267,0.06374907949200098,0.5545758505905227,0.3723251665649195,0.41490056817027493,0.8342927145478682,0.2876649841865118,0.3757823886395943,0.586737598663734,0.36487032785052664,0.15391865500366303,0.36074821831378123,0.34475459805294323,0.2541426976105542,0.706285510472421,0.4364669511015112,0.6117057001370994,0.5274658268477511,0.3417457834597337,0.17229780318172533,0.3744274458871253,0.42003675095029525,0.5714394546682071,0.8269519607316407,0.29524537176014,0.36915297711733364
6,0.38222689373905444,0.4399492013339783,0.4185868215422356,0.3999303156353022,0.25639708358364677,0.6982561542437409,1.0,0.48448480691448303,0.44078666619665424,0.526671416836263,0.3741205023647422,0.3300497804774057,0.32432209327493616,0.48010504912602275,0.5038456122773955,0.7782519615815137,0.3908832052969511,0.3747840424261193,0.5242305474342875,0.3650757491123486,0.2097217833619347,0.40254822576331106,0.606088933978399,0.7454545103482672,0.636554152421462,0.4866963238872099,0.4507487756601157,0.4804232654700401,0.32656951966948694,0.5703546022416841,0.39968823810847215,0.22977360143424466,0.563668898926626,0.6658142126290257,0.462276242987763,0.4229455669045776,0.658923578406301,0.3465894731239101,0.5573278213427982,0.2981779045350269,0.6116838880892196,0.5241320078380743,0.6158065278624918,0.3140490002774672,0.4083808428840865,0.49511328300630425,0.5240484156925032,0.5449828406644946,0.0925478090534809,0.36497684756704,0.7372244558810069,0.7559471702939001,0.389966426701896,0.577155183821765,0.5744292912515911,0.21459268468669418,0.42775933192504056,0.14198776127486412,0.3121488850994863,0.2697468997599967,0.7151513755610597,0.4807056862366951,0.3641030393966011,0.6386591849735554,0.6947426983709756,0.46381450976209154,0.35715943779535275,0.3911043539597807,0.7052420099847183,0.7177757423040795,0.32085571150401093,0.491206799494375,0.5363837892547945,0.43045304671409096,0.3566100869897757,0.09599940645800936,0.385160519711936,0.3134048046921047,0.3640732764496259,0.6604556333190373,0.3841895942102823,0.2960406309106632,0.26623399456757624,0.36104264948546183,0.16500991612919622,0.29037108207303114,0.4511200681240365,0.5688387206390008,0.5697465533447983,0.30362906047146526
7,0.3634668509208499,0.6354767856402488,0.4823331621250461,0.25022007546884434,0.2736648176740101,0.4424049130445602,0.48448480691448303,1.0,0.4368534038413254,0.41083817618305757,0.367408490897548,0.4669983195806059,0.1759918958956889,0.5135137613549552,0.5113617900151496,0.46415912980006474,0.9412944528832689,0.39501351285850517,0.5754860259849973,0.4329347637985244,0.44262862221736415,0.23574453152438254,0.5779630251771464,0.6287725855788432,0.2814196845368237,0.9239077881308084,0.38862244063796025,0.38224486225497306,0.4038398607959361,0.5941308079241959,0.2557616907252846,0.1223238972609937,0.5368992725538394,0.2770439640810497,0.8468231626040272,0.39505262604884167,0.5304610516118992,0.3045226214842383,0.48521743813330953,0.45034753969096214,0.657948689889005,0.45765697440895836,0.4370929131533079,0.9322333025714618,0.3688868449580036,0.30944509445611296,0.5487862288733141,0.42586850402226284,0.4016703429863754,0.21546148295537415,0.5412559978210616,0.21446598475685966,0.9174878228079953,0.471582328899748,0.4355105412877593,0.26282609772978893,0.4584041959372977,0.4423507100645699,0.16603454408109242,0.006523095229115672,0.19172635762177287,0.9405984434985584,0.44088212476322486,0.3161773762918955,0.46585390461931103,0.11090274699103853,0.33893376087094956,0.164807923536628,0.3427773810899297,0.41942162718078,0.9417573878718254,0.45549226981187607,0.753785587660823,0.6515362727502984,0.6568571631509806,0.5403740025884983,0.25396855287080916,0.598929548082603,0.6087595089412939,0.45328503520002833,0.42684383245444507,0.5542436592917194,0.3780580386875179,0.5613809947510214,0.5121363781864532,0.21624127432173124,0.596019687881052,0.6762785931643216,0.4297316251343345,0.932006771805192
8,0.6658267430784165,0.5571036140451867,0.5358856868215756,0.5818238162370062,0.3589601679002231,0.6530152313284538,0.44078666619665424,0.4368534038413254,1.0,0.7617838107835297,0.4249203246951498,0.36774152355002865,0.6463475506787615,0.42979951881858797,0.7279513279518318,0.3510926389143129,0.43818900448846143,0.8191525099139455,0.7425729183815141,0.5478609395401727,0.4130090261131563,0.5558848192745651,0.3358901027777823,0.6625648278749889,0.24342775769181993,0.46530271158125686,0.8447649045151712,0.5614204249606879,0.4738637400993201,0.19516296024007215,0.6281139192263695,0.13847260102189768,0.4123558793068251,0.2898358488042955,0.39449541584484404,0.6767414096080987,0.7449497977945854,0.42176924099385954,0.2965896673818091,0.3570572705457557,0.36336924543714644,0.5984278617574689,0.18429155733452682,0.3597512887899514,0.8246567069227831,0.4988430372838429,0.6184233282656999,0.33918281327228034,0.3052799612774813,0.5361564315521248,0.5107317385536356,0.33434903129902455,0.33864273549093327,0.668522506275245,0.616656531587695,0.5169625806277208,0.32424821493878514,0.394705291177415,0.5800496507947334,0.09910690034163344,0.10627134023064908,0.3907793901155794,0.620892713164794,0.756218692381484,0.7416638289509502,0.2227220314392263,0.5249652049352448,0.5320015297487849,0.3643175380020914,0.5474337748244087,0.26952459223826347,0.6504647485237977,0.7135799746172072,0.6291980521526358,0.3884384809728486,0.45582283215832886,0.5223574751689979,0.3164302653624271,0.5435622751880587,0.1532113841822273,0.7771196001058494,0.5691076654866677,0.6518090634820948,0.49673728235869585,0.39340227749577944,0.6233804327389663,0.6453908819723003,0.6286594032362228,0.3784538551823024,0.3553218215684862
9,0.8315469377849904,0.7394711310573768,0.674369416601532,0.5208919562591293,0.4758628692073228,0.5920006214330276,0.526671416836263,0.41083817618305757,0.7617838107835297,1.0,0.7513009521805162,0.6950534209716279,0.7004605028914498,0.7097769590796523,0.6016520510558235,0.3426839990195217,0.30493796322803546,0.7137534497991355,0.9211555800913435,0.7596112177091365,0.5982056373398436,0.4924820816369914,0.6051764626263709,0.5591391478463218,0.3041254839493303,0.3966412766084423,0.6200023380386379,0.7442284410781408,0.7829561235697782,0.43094184074290803,0.5514907623128223,0.10712576181211063,0.4708918486128552,0.36919832537379915,0.39843496835841846,0.6733735211210722,0.8053355801943094,0.5068790270203702,0.4774179118704263,0.5278301109754603,0.32084404202675276,0.4281340327589214,0.10250351345634685,0.3463745120902002,0.6269240320896471,0.5593641984652704,0.777642568174296,0.5868759518567845,0.4327843275389022,0.5051344162032518,0.4101906410392534,0.30802628691660755,0.32466854948509843,0.6167879871671189,0.7214666789959228,0.6244599457973611,0.5492018273165582,0.4643578203931832,0.5068258165367496,0.22685538508436828,0.14356845122338638,0.28427599608519327,0.5242578297903845,0.7853222285778315,0.7520740480097355,0.2642426373170747,0.44058599646572233,0.5123923357126959,0.31121457372046424,0.3634989221843026,0.23821055549950668,0.45044727242983185,0.6599862261889132,0.6434395786934686,0.5320657892362103,0.4408841108482493,0.45170875717428816,0.3257299007436603,0.45961069664361887,0.1593697893463242,0.5870337695713344,0.6034132284728534,0.7711904837929597,0.6835090042695209,0.5220957902603305,0.5252649645081512,0.6674247173174468,0.5563747091028693,0.32337317847704466,0.2721495938912967
